name,url,price,unit,stock_status,image_url,category
Marblo chipolata met erwtjes en wortelen 500g,https://www.qsta.nl/en_US/p/marblo-chipolata-met-erwtjes-en-wortelen-500g/20660/,"€ 7,55 /Unit excl. BTW",/Unit,161 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021033.jpg,Fresh
Marblo orloffgebraad met gebakken champignons 500g,https://www.qsta.nl/en_US/p/marblo-orloffgebraad-met-gebakken-champignons-500g/20661/,"€ 7,85 /Unit excl. BTW",/Unit,12 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021030.jpg,Fresh
Marblo wok van kip met mekongrijst 500g,https://www.qsta.nl/en_US/p/marblo-wok-van-kip-met-mekongrijst-500g/20666/,"€ 7,10 /Unit excl. BTW",/Unit,142 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021020.jpg,Fresh
Marblo cordon bleu met Italiaanse broccolimix 500g,https://www.qsta.nl/en_US/p/marblo-cordon-bleu-met-italiaanse-broccolimix-500g/20672/,"€ 7,55 /Unit excl. BTW",/Unit,131 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021031.jpg,Fresh
Marblo Luikse balletjes met puree 500g,https://www.qsta.nl/en_US/p/marblo-luikse-balletjes-met-puree-500g/20673/,"€ 6,00 /Unit excl. BTW",/Unit,83 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0020959.jpg,Fresh
Marblo rundsburger gebakken aardappel 500g,https://www.qsta.nl/en_US/p/marblo-rundsburger-gebakken-aardappel-500g/20679/,"€ 7,85 /Unit excl. BTW",/Unit,201 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021035.jpg,Fresh
Marblo scampi curry met basmatirijst 500g,https://www.qsta.nl/en_US/p/marblo-scampi-curry-met-basmatirijst-500g/20682/,"€ 7,35 /Unit excl. BTW",/Unit,410 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021038.jpg,Fresh
Marblo kippenbroodje erwten wortels 500g,https://www.qsta.nl/en_US/p/marblo-kippenbroodje-erwten-wortels-500g/20684/,"€ 7,50 /Unit excl. BTW",/Unit,202 stocks available,https://www.qsta.nl/static/uploads/pictures/large/X0021024.jpg,Fresh
Marblo tongrolletjes witte wijnsaus met dille 500g,https://www.qsta.nl/en_US/p/marblo-tongrolletjes-witte-wijnsaus-met-dille-500g/20692/,"€ 8,45 /Unit excl. BTW",/Unit,73 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Marblo scampi diabolique met fettucini 500g,https://www.qsta.nl/en_US/p/marblo-scampi-diabolique-met-fettucini-500g/20702/,"€ 9,75 /Unit excl. BTW",/Unit,93 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Marblo varkenshaasje in jagerssaus 500g,https://www.qsta.nl/en_US/p/marblo-varkenshaasje-in-jagerssaus-500g/20720/,"€ 7,00 /Unit excl. BTW",/Unit,277 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Marblo hoevekipfilet met groentjes en kriel 500g,https://www.qsta.nl/en_US/p/marblo-hoevekipfilet-met-groentjes-en-kriel-500g/20721/,"€ 7,85 /Unit excl. BTW",/Unit,270 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Marblo gehaktballetjes op grootmoeders wijze 500g,https://www.qsta.nl/en_US/p/marblo-gehaktballetjes-op-grootmoeders-wijze-500g/20726/,"€ 6,50 /Unit excl. BTW",/Unit,93 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Marblo varkenshaasje met pepersaus 500g,https://www.qsta.nl/en_US/p/marblo-varkenshaasje-met-pepersaus-500g/20735/,"€ 8,15 /Unit excl. BTW",/Unit,44 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Marblo rundstong met gehaktballetjes en puree 500g,https://www.qsta.nl/en_US/p/marblo-rundstong-met-gehaktballetjes-en-puree-500g/20737/,"€ 7,85 /Unit excl. BTW",/Unit,Available soon *,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Marblo Oostends visserspotje 500g,https://www.qsta.nl/en_US/p/marblo-oostends-visserspotje-500g/20739/,"€ 9,25 /Unit excl. BTW",/Unit,102 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Marblo zalmfilet groentenmix choronsaus spinaziepuree 500g,https://www.qsta.nl/en_US/p/marblo-zalmfilet-groentenmix-choronsaus-spinaziepuree-500g/20740/,"€ 10,55 /Unit excl. BTW",/Unit,52 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Marblo tortelloni ricotta en spinazie 500g,https://www.qsta.nl/en_US/p/marblo-tortelloni-ricotta-en-spinazie-500g/20747/,"€ 7,10 /Unit excl. BTW",/Unit,183 stocks available,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Kjure scampi's met rode curry 500g,https://www.qsta.nl/en_US/p/kjure-scampi-s-met-rode-curry-500g/4140/,"€ 9,17 /Unit excl. BTW",/Unit,Available soon *,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
Kjure bulgur met berloumi en zuiderse groenten 500g,https://www.qsta.nl/en_US/p/kjure-bulgur-met-berloumi-en-zuiderse-groenten-500g/4141/,"€ 7,33 /Unit excl. BTW",/Unit,Available soon *,https://www.qsta.nl/static/themes/qsta/img/default_product.png,Fresh
